id,open_utc,close_utc,symbol,quote,pool,meme_mint,bin_step,base_fee_pct,strategy,bins_below,deposit_sol,sol_price_usd,deposit_usd,tvl_entry,fee_tvl_1h_entry,vol_tvl_1h_entry,vol_trend_entry,mcap_entry,age_min_entry,txns_1h_entry,top10_pct_entry,insiders_pct_entry,price_entry,price_exit,exit_reason,fees_claimed_usd,tokens_left_sold_usd,position_withdrawn_usd,gas_usd,slippage_usd,net_pnl_usd,net_pnl_pct,minutes_held,notes
1,2026-09-25T08:31,2026-09-25T08:36,COLLECT,SOL,99orHi3NfTY5MH68KDZfHsD3bsV88w4EXvdB9mMZUDEv,nDZknLvfFRp5rgUHdzTrQsmSY5NKzoavqdLjSHVpump,50,0.5,bidask,15,,,150.0,72962.88,0.0211,1.2369,2.0818,2094084,453.05,717,15.14,0,0.002184,0.001994,price,0.07,140.79,0.0,2.5,1.56,-11.64,-7.76,5,sim; min 0.001994 max 0.002208
2,2026-09-25T08:31,2026-09-25T08:51,STONKBLEND,SOL,5NyGX4kKCqPT8pPw7wHn2Ce2kDfaxTQ71uSLi2Vaspmj,2Ngvnnkwrwq5u4RYV5WYKJ2wiQoEkKaVCc4LuuhYSTNK,100,2.0,bidask,15,,,145.45,6361.31,0.0146,0.6093,2.051,466774,776.85,278,21.44,0,0.0004667,0.0003951,price,0.51,130.65,0.0,2.5,2.77,-16.8,-11.55,19,sim; min 0.0003951 max 0.0004667
5,2026-09-25T12:48,2026-09-25T12:58,BackCat,SOL,2JTdBKpZy1vKAvfWQxno1SDZCnerqenVVg3aho4ZYXvw,ATqKVVa4h5WqjAMqJdG3mjtWXsW5SshyyUY7dXdvSvRs,80,2.0,bidask,15,,,140.24,25976.17,0.0214,0.7761,9.99,307118,15.14,4948,17.73,0,0.0003039,0.0002659,price,0.0,129.17,0.0,2.5,1.54,-13.57,-9.68,10,sim; min 0.0002659 max 0.0003853
4,2026-09-25T12:31,2026-09-25T13:01,BRAIN,SOL,27sFWDnATKH63T58vm93QpLD4LCPuGCTgdeQZotzUyWV,3znS89gifim2Hhhu8wjb2PfSgaCDdma187D5NMkDpump,200,2.0,bidask,15,,,144.63,9362.2,0.0131,0.5052,1.1661,475636,747.44,948,15.91,0,0.0004874,0.0003376,price,0.95,117.18,0.0,2.5,1.93,-29.0,-20.05,29,sim; min 0.0003376 max 0.0004874
3,2026-09-25T12:31,2026-09-25T13:12,BRICK,SOL,7E2cK3tb8DhSNaTqGJ5nmXjumqoL89Qv9ZCssAfFSEQc,F9PvspnWkP3hSLaYxQb2LvFRBgyrLVhdUJ5q39tZZPbC,200,2.0,bidask,15,,,149.15,31216.98,0.0655,2.0608,9.99,404225,43.64,6613,22.46,0,0.0003901,0.000399,volume,7.38,0.0,149.15,2.5,0.0,4.88,3.27,40,sim; min 0.0003295 max 0.0004737
7,2026-09-25T13:03,2026-09-25T13:31,TTP,SOL,CteUXncHjsbvHDHx5AREFSSfLq8T28ZqACewfSyyDR2A,5iqjhP5ig6JWdXQf6hYAwojZeMf11pTCvH87gCQtpump,100,2.0,bidask,15,,,139.23,18121.39,0.0209,0.7337,4.3004,529662,744.9,1152,21.87,0,0.0005088,0.0005325,volume,0.96,0.0,139.23,2.5,0.0,-1.54,-1.11,28,sim; min 0.0004783 max 0.0005368
6,2026-09-25T12:50,2026-09-25T13:51,SWARM,SOL,FRzLWC7LPGAAgDeuWXn7gEwpMyueDe5XN7eAU7fGu2Qz,5g9PWcRUHpmqm5uKycpShKXJB18sGLeCEzgB3qrRpump,100,3.0,bidask,15,,,135.99,6352.22,0.0499,1.3175,1.4429,339257,243.48,3795,20.5,0,0.0003771,0.0005255,volume,0.47,0.0,135.99,2.5,0.0,-2.03,-1.49,60,sim; min 0.0003412 max 0.0005255
8,2026-09-25T13:40,2026-09-25T14:27,WODL,SOL,7zxC8abg9zEXHQ7TYWJWRX8mzcxciM5vLvtKN6ahSmSA,6BZY2BgeqVKEYCTgU9Q9oUwx6bDqv32djy6WGaXTci1i,125,5.0,bidask,15,,,143.85,7472.39,0.0372,0.7611,9.99,699302,50.41,2758,19.72,0,0.0006517,0.0007537,volume,0.72,0.0,143.85,2.5,0.0,-1.78,-1.24,47,sim; min 0.0006157 max 0.0009388
9,2026-09-25T14:33,2026-09-25T14:37,COLLECT,SOL,99orHi3NfTY5MH68KDZfHsD3bsV88w4EXvdB9mMZUDEv,nDZknLvfFRp5rgUHdzTrQsmSY5NKzoavqdLjSHVpump,50,0.5,bidask,15,,,147.86,27743.98,0.0193,1.4782,0.898,1205698,814.87,341,15.24,0,0.001218,0.00111,price,0.07,138.31,0.0,2.5,1.76,-11.99,-8.11,4,sim; min 0.00111 max 0.001218
10,2026-09-25T15:34,2026-09-25T16:07,STONKBLEND,SOL,5NyGX4kKCqPT8pPw7wHn2Ce2kDfaxTQ71uSLi2Vaspmj,2Ngvnnkwrwq5u4RYV5WYKJ2wiQoEkKaVCc4LuuhYSTNK,100,2.0,bidask,15,,,147.5,5071.16,0.0145,0.6021,1.4639,429077,1199.73,311,22.09,0,0.0004234,0.0003555,price,0.65,131.14,0.0,2.5,3.04,-18.2,-12.34,32,sim; min 0.0003555 max 0.0004459
