wallet,level,segment,n,roi_mean,roi_shrunk,t,winrate,roi_half1,roi_half2,approved
0x9b11866433281ade9f2811dbde8acdefc45f5375,L2t,Sports / Baseball / type=totals,390,0.1106,0.112,2.07,0.546,0.1554,0.0658,True
0x1610db79f753a80207e1d66716be9e91e627ae49,L2t,Esports / Esports / type=moneyline,202,0.2332,0.2115,2.02,0.51,0.3179,0.1484,True
0x1610db79f753a80207e1d66716be9e91e627ae49,L2l,Esports / Esports / pre,104,0.3362,0.2808,2.52,0.596,0.3831,0.2892,True
0xe7e91d5d52b1524ddf6e83082d2d8b012a78fb3c,L3,Sports / Other sport / Tokyo Daily Lowest Temperature,42,0.7987,0.5537,2.06,0.81,0.8831,0.7144,True
0xe7e91d5d52b1524ddf6e83082d2d8b012a78fb3c,L1b,Sports / price=0.10-0.30,54,0.7352,0.547,2.13,0.37,0.9077,0.5626,True
0xe7e91d5d52b1524ddf6e83082d2d8b012a78fb3c,L2b,Sports / Other sport / price=0.10-0.30,54,0.7352,0.547,2.13,0.37,0.9077,0.5626,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1,Sports,2292,0.1973,0.1973,3.26,0.451,0.2412,0.1534,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2,Sports / Other sport,2290,0.1984,0.1983,3.27,0.451,0.2431,0.1536,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L3,Sports / Other sport / Tokyo Daily Weather,372,0.4119,0.4007,2.84,0.5,0.3897,0.4341,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L3,Sports / Other sport / Seoul Daily Weather,534,0.2941,0.2904,2.24,0.506,0.5225,0.0657,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2t,Sports / Other sport / type=binary,2290,0.1984,0.1983,3.27,0.451,0.2431,0.1536,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1b,Sports / price=0.10-0.30,650,0.1789,0.1792,3.23,0.398,0.3158,0.0419,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1b,Sports / price=0.30-0.50,374,0.1115,0.1156,2.84,0.516,0.1306,0.0924,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1b,Sports / price=0.50-0.70,252,0.0808,0.089,2.3,0.607,0.1527,0.0089,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1b,Sports / price=0.70-0.90,166,0.0687,0.082,2.71,0.789,0.0548,0.0826,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2b,Sports / Other sport / price=0.10-0.30,649,0.1807,0.181,3.26,0.399,0.3198,0.0419,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2b,Sports / Other sport / price=0.30-0.50,373,0.1145,0.1185,2.92,0.517,0.1367,0.0924,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2b,Sports / Other sport / price=0.50-0.70,252,0.0808,0.089,2.3,0.607,0.1527,0.0089,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2b,Sports / Other sport / price=0.70-0.90,166,0.0687,0.082,2.71,0.789,0.0548,0.0826,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2l,Sports / Other sport / live,1821,0.2164,0.2161,3.1,0.483,0.2667,0.1661,True
