wallet,name,closed_n,open_now,open_total,history_days,roi_equal,roi_trimmed,t_stat,winrate,share_entry_ge90,share_entry_lt10,profit_share_ge90,profit_share_lt10,profit_share_top1,short_crypto_share,total_realized_pnl,avg_cost,pass,fail_reasons
0x821dab0565ebf5b327f51db06223fdcfe01acf16,Flaznorp,500,1853,2192,27.6,4.26,1.611,5.67,1.0,0.012,0.12,0.008,0.115,0.02,0.0,7346486.85,25590.76,False,open_now>10
0xc69bd5567b40ef4d11922eaa57e1f9be1c642076,vtcchampion52,500,1,1,79.7,3.8564,1.8366,5.97,1.0,0.014,0.222,0.004,0.12,0.056,0.0,2773420.0,9346.87,True,
0x122cb94c437ea5e6f088c6c0c143c592ab8efbed,0x122Cb94C437EA5e6f088c6c0C143c592ab8EFBed-1782168978900,3523,657,3826,371.9,-0.6257,-0.6377,-13.6,0.231,0.055,0.425,0.313,0.087,0.04,0.0,257449.09,846.62,False,roi<=0;open_now>10
0x84cfffc3f16dcc353094de30d4a45226eccd2f63,mooseborzoi,544,588,717,151.1,1.2919,0.9117,10.5,0.925,0.0,0.051,0.0,0.053,0.029,0.0,33392181.12,77674.36,False,open_now>10
0x9e3ed7b661a903fc97afcf49e0f014ebe869f882,0x9e3ed7b661a903fc97afcf49e0f014ebe869f882-1783406009396,557,673,832,75.3,1.1446,0.8529,10.42,0.944,0.007,0.031,0.0,0.013,0.025,0.043,3746699.53,9129.84,False,open_now>10
0xdc41c39b95453c943174f369926018f6963bdd7e,nigiri99,551,197,252,182.9,1.5246,0.8396,3.1,0.907,0.009,0.015,0.006,0.021,0.026,0.0,8431596.78,22696.35,False,open_now>10
0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,suntori,503,819,969,178.3,1.5007,1.295,21.37,0.996,0.004,0.012,0.002,0.008,0.019,0.004,21779893.8,60182.7,False,open_now>10
0xb0c85813a7a4428f1139ff91d3118a92c391fe7f,highstake.trade,1128,577,3043,402.3,27.0409,9.9835,8.17,0.45,0.028,0.847,0.059,0.653,0.093,0.0,1611535.12,1377.79,False,profit_from<0.10;open_now>10
0x1387d145aaf01f6e33b66525dda6e1f51f6955f8,Lucerys,891,2489,5000,327.0,16.4025,3.843,4.39,0.649,0.02,0.691,0.033,0.554,0.103,0.0,181334.48,164.28,False,positions>5000;profit_from<0.10;open_now>10
0x5268527977f700f9bf9b6d5cd843859e4e70135d,HomeRunHazard,4863,165,4674,153.9,-0.7636,-0.8832,-73.24,0.113,0.0,0.016,0.0,0.0,0.032,0.0,13804834.81,4036.62,False,roi<=0;open_now>10
0x40e9808592e9458f7a26a3f272960290f3b8494f,zusu,2272,20,1847,42.2,-0.3693,-0.6173,-9.47,0.227,0.004,0.178,0.0,0.018,0.016,0.0,63568.42,25.64,False,roi<=0;open_now>10
0xeea3f08e8a36081233e4c4b4142fd61a7b56a6a2,thestingsnake,1163,8,694,107.5,-0.329,-0.2531,-4.31,0.445,0.015,0.173,0.022,0.007,0.004,0.0,442463.95,1135.71,False,roi<=0
0x0484bf76425db5021ce2d369f78fc125906d4830,sleeper-service,5195,101,5000,146.2,-0.7429,-0.9329,-51.89,0.096,0.003,0.107,0.0,0.007,0.007,0.0,-63238.14,38.86,False,positions>5000;roi<=0;open_now>10
0xd71776a8d4fddeb3c150c4607b3f8bec31213b85,0xD71776A8d4FdDeb3c150C4607B3f8bec31213B85-1778810464493,497,263,491,92.0,473.714,251.3916,8.35,0.962,0.042,0.662,0.056,0.539,0.118,0.0,153258.19,29.96,False,profit_from<0.10;open_now>10
0x4e09376dd01697fc4e2e7d298652422772f77e2a,tafetta888,805,107,491,19.6,0.0617,-0.0305,1.55,0.621,0.01,0.022,0.001,0.031,0.328,0.0,4166.54,33.62,False,top1_concentration;open_now>10
0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,,5313,81,5000,111.2,-0.8608,-0.9406,-14.02,0.094,0.006,0.136,0.0,0.006,0.023,0.0,11524169.11,3891.71,False,positions>5000;roi<=0;open_now>10
0x69f0c154a3412f2b3fa7eb22c6d08e6b5b32fb27,0x69f0C154a3412F2b3Fa7eB22c6d08E6B5B32FB27-1778811502354,482,185,335,190.1,501.2318,196.8621,5.13,0.956,0.046,0.662,0.078,0.57,0.21,0.0,279247.06,41.32,False,profit_from<0.10;open_now>10
0x1f85eb9c455c5bdef5d96c2739076678c7157b02,0x1F85EB9C455c5BDEF5D96C2739076678c7157B02-1778811447702,592,224,604,99.4,393.5843,199.6294,7.87,0.848,0.068,0.657,0.028,0.7,0.05,0.0,205419.97,30.25,False,profit_from<0.10;open_now>10
0x06dc51826bc524d9a83770e7de9dd7e005b04524,0x06dc51826bc524d9a83770e7de9dd7e005b0452,1731,420,1859,183.3,16.5022,5.9241,12.03,0.608,0.028,0.528,0.009,0.457,0.021,0.107,6257529.46,5357.8,False,profit_from<0.10;open_now>10
0xcc83ef4a6ade473625a06c47f27f58ebcebf260c,n00bee,159,114,178,11.0,-0.0009,-0.0741,-0.01,0.591,0.082,0.006,0.006,0.0,0.33,0.025,69.56,17.98,False,roi<=0;top1_concentration;history<90d;open_now>10
