wallet,name,score,pass,fail_reasons,trades_n,episodes_n,closed_n,open_n,history_days,days_since_last,roi_copy,roi_trimmed,t_stat,winrate,roi_hold,roi_wallet,roi_half1,roi_half2,roi_last30,max_dd_stakes,conc_p95,conc_max,median_hold_h,both_sides_share,snipe_share,live_share,median_volume,share_entry_ge90,share_entry_lt10,profit_share_ge90,profit_share_lt10,profit_share_top1,short_crypto_share,edge_all,exit_value_add,size_signal,trades_truncated,top_category,top_segments,approved_segments
0xf5fe759cece500f58a431ef8dacea321f6e3e23d,Stavenson,1.7849,False,concurrency_p95>8,1024,538,210,326,332.6,0.2,2.5582,1.7849,6.54,0.662,2.2074,2.1044,0.0316,5.0848,0.4573,8.85,307.0,328,17.13,0.019,0.0,0.207,132045,0.19,0.329,0.266,0.069,0.111,0.0,0.1155,0.8885,-4.6166,False,Sports,"Sports / price=0.00-0.10 (n=69, roi=+6.32) | Sports / Tennis / price=0.00-0.10 (n=56, roi=+6.98) | Sports / Tennis / pre (n=124, roi=+3.89)","Sports / price=0.00-0.10 (n=69, roi=+6.32) | Sports / Tennis / price=0.00-0.10 (n=56, roi=+6.98) | Sports / Tennis / pre (n=124, roi=+3.89) | Sports / Tennis / type=moneyline (n=127, roi=+3.82) | Sports / Tennis (n=159, roi=+3.11) | Sports (n=209, roi=+2.57)"
0x2664fb14b922ab0d35c739db8af24b6bd93053f8,eren50,1.1361,False,roi_copy<=0;t<2.0;concurrency_p95>8;drawdown;unstable_halves,1297,1115,1111,4,336.2,0.1,-0.3648,-0.4094,-16.65,0.471,-0.3652,-0.3646,-0.1479,-0.5813,-0.6835,408.67,23.0,40,16.35,0.07,0.0,0.042,338544,0.152,0.332,0.037,0.0,0.013,0.004,-0.0224,0.0031,0.647,False,Sports,"Sports / Basketball / price=0.10-0.30 (n=7, roi=+0.14) | Sports / price=0.10-0.30 (n=10, roi=+0.07) | Sports / price=0.70-0.90 (n=244, roi=-0.02)",
0xd498f2d1ae092dfc39088343f6d4e9219c7780ae,P-J,0.4388,False,closed<50;concurrency_p95>8,169,37,36,1,419.6,0.2,0.6354,0.5462,2.41,0.694,0.6737,0.4267,0.7387,0.5322,0.5264,2.16,12.0,13,256.17,0.028,0.0,1.0,143737,0.278,0.167,0.005,0.0,0.238,0.0,0.2247,-0.1061,0.7322,False,Politics,"Politics (n=26, roi=+0.59) | Politics / price=0.10-0.30 (n=6, roi=+1.02) | Politics / Thailand-Cambodia (n=7, roi=+0.67)",
0xfc0f1200bee4c176a468eb26ce6b5584fe30c1e6,market3,0.4188,False,roi_copy<=0;t<2.0;concurrency_p95>8;low_liquidity;profit_from<0.10;top1_concentration;drawdown;unstable_halves,525,279,279,0,94.0,0.2,-0.3262,-0.4619,-5.44,0.272,-0.2871,-0.3312,-0.3237,-0.3288,-0.3445,99.39,30.0,34,15.47,0.015,0.0,0.527,11243,0.122,0.305,0.004,0.351,0.351,0.032,-0.0111,-0.1214,0.2363,False,Sports,"Crypto / Up/Down short (n=9, roi=+0.09) | Crypto / Up/Down short / type=updown (n=9, roi=+0.09) | Crypto / price=0.10-0.30 (n=4, roi=+0.11)",
0x2d44274747466c0936c3e01d5a5ad6c260d97023,FuuUuUu,0.3236,False,low_liquidity,412,250,247,3,149.9,0.3,0.6888,0.3236,4.44,0.899,0.6379,0.6537,0.6496,0.7276,0.8831,3.22,4.0,6,10.32,0.025,0.0,0.947,7541,0.324,0.097,0.147,0.112,0.045,0.0,0.1348,0.1609,-1.1012,False,Sports,"Sports / price=0.00-0.10 (n=24, roi=+2.63) | Sports / Other sport / price=0.00-0.10 (n=24, roi=+2.63) | Sports (n=246, roi=+0.69)","Sports (n=246, roi=+0.69) | Sports / Other sport (n=246, roi=+0.69) | Sports / Other sport / type=binary (n=246, roi=+0.69) | Sports / Other sport / live (n=233, roi=+0.69) | Sports / Other sport / Panama Daily Weather (n=45, roi=+0.80) | Sports / Other sport / Sao Paulo Daily Weather (n=67, roi=+0.47)"
0x9188ed4147f56a7dbf0c5b299be00e1d1072e046,LuckySo,0.2644,False,roi_copy<=0;t<2.0;concurrency_p95>8;drawdown;unstable_halves,236,143,139,4,776.8,0.2,-0.34,-0.549,-2.89,0.245,-0.3069,-0.332,-0.0312,-0.6445,-0.4851,51.92,9.0,12,68.93,0.014,0.0,0.63,517592,0.014,0.324,0.012,0.0,0.198,0.122,-0.0082,-0.2003,0.278,False,Sports,"Crypto / All (n=1, roi=-0.14) | Crypto / All / ? (n=1, roi=-0.14) | Crypto / All / type=binary (n=1, roi=-0.14)",
0x653e1e61a51e2ee4ba1e7ff934b4ea994bbfbbc0,Leslielin,0.263,False,roi_copy<=0;t<2.0;concurrency_p95>8;drawdown;unstable_halves,2275,1042,1011,31,426.2,0.1,-0.1869,-0.3611,-4.37,0.366,-0.1782,-0.1873,-0.1897,-0.1842,-0.6774,200.92,32.0,36,9.15,0.012,0.0,0.06,82900,0.005,0.052,0.0,0.001,0.059,0.0,-0.0509,-0.0771,-0.0166,False,Esports,"Esports / Esports / type=binary (n=15, roi=+0.16) | Esports / Esports / ? (n=14, roi=+0.15) | Sports / Soccer / type=soccer_team_to_advance (n=3, roi=-0.06)",
0x88eec58b3e9b13487605da83970467f87b983e8b,Melisa028,0.2515,False,low_liquidity;profit_from<0.10;drawdown,1121,470,466,4,177.8,0.2,0.8167,0.2515,3.2,0.472,0.7228,0.7608,0.9553,0.6782,-0.3394,12.0,5.0,8,11.34,0.002,0.0,0.953,14108,0.0,0.296,0.0,0.321,0.072,0.002,0.0806,0.1081,-0.1471,False,Sports,"Sports / price=0.00-0.10 (n=138, roi=+1.60) | Sports / Other sport / price=0.00-0.10 (n=138, roi=+1.60) | Sports / Other sport / live (n=443, roi=+0.86)","Sports / price=0.00-0.10 (n=138, roi=+1.60) | Sports / Other sport / price=0.00-0.10 (n=138, roi=+1.60) | Sports / Other sport / live (n=443, roi=+0.86) | Sports (n=465, roi=+0.82) | Sports / Other sport (n=465, roi=+0.82) | Sports / Other sport / type=binary (n=465, roi=+0.82)"
0x6a069dae3165b6954c2d078a07f884fc1a9931d8,guguettaa,0.2366,False,roi_copy<=0;t<2.0;concurrency_p95>8;drawdown;unstable_halves,3167,1829,1817,12,299.7,0.1,-0.1454,-0.2839,-5.0,0.456,-0.1462,-0.163,-0.0941,-0.1966,-0.4091,265.18,171.0,222,3.47,0.054,0.001,0.779,132737,0.065,0.161,0.036,0.003,0.019,0.004,-0.0169,0.0009,0.3152,False,Esports,"Esports / Esports / pre (n=35, roi=+0.22) | Esports / Esports / type=lol_penta_kill (n=3, roi=+0.48) | Sports / Other sport / Chengdu Daily Weather (n=9, roi=+0.14)",
0x4581c1926fabfabb6d1ada38e7d1d1587ac391f9,23vInc,0.2313,False,roi_copy<=0;t<2.0;concurrency_p95>8;low_liquidity;drawdown;unstable_halves,1665,878,853,24,204.6,0.0,-0.17,-0.3297,-4.21,0.42,-0.1456,-0.1719,-0.2889,-0.0514,-0.1037,145.01,39.0,48,16.8,0.015,0.0,0.703,9754,0.093,0.104,0.03,0.031,0.044,0.0,-0.0297,-0.0639,0.2687,False,Sports,"Sports / Other sport / Austin Daily Weather (n=22, roi=+0.13) | Sports / Other sport / Singapore Daily Weather (n=2, roi=+0.30) | Sports / Other sport / Wuhan Daily Weather (n=17, roi=+0.08)",
