wallet,name,final_score,pass,fail_reasons,n_checked,roi_copy_checked,roi_delay_0.5m,roi_delay_1m,roi_delay_5m,roi_delay_30m,keep_ratio5,skip_share,roi_delay5_filtered,t_delay5,tape_share,markout_1h,markout_24h,slippage_median,slippage_n,spread_median,stage2_score,approved_segments
0xe478d4ca1c959e78f4ad9e563b134c54363128ea,gmomoney,0.0898,True,,150,0.1578,0.1416,0.1705,0.1799,0.1495,0.9,0.074,0.1501,2.03,0.973,-0.0306,0.1657,,0,,0.0998,"Sports / price=0.50-0.70 (n=106, roi=+0.21) | Sports (n=172, roi=+0.16) | Sports / Baseball / type=moneyline (n=40, roi=+0.29) | Sports / American Football / price=0.50-0.70 (n=33, roi=+0.32)"
0xf68aa71cb5187d1e3ceb22fa07ca40aae7e25b13,,0.0551,True,,80,0.0994,0.0933,0.0992,0.1081,0.0885,0.94,0.088,0.0815,1.66,0.613,0.0302,0.0631,0.0,3,0.01,0.0586,"Sports / Soccer / pre (n=33, roi=+0.11)"
0x56dc1f57f224d88fc988444d765ffda09c78d397,attract,0.0314,True,,150,0.1201,0.1096,0.1178,0.1265,0.1145,0.91,0.02,0.11,2.01,0.747,-0.0201,0.0882,0.0,3,0.01,0.0345,"Sports / Soccer / pre (n=170, roi=+0.15) | Sports / Soccer / type=both_teams_to_score (n=34, roi=+0.33) | Sports / Soccer (n=187, roi=+0.13) | Sports (n=198, roi=+0.11) | Sports / Soccer / price=0.50-0.70 (n=78, roi=+0.15) | Sports / price=0.50-0.70 (n=80, roi=+0.14)"
0x19f3ab1ed7c34f6e389ea267f27e83b87b2f4a8d,brigandine1,0.016,True,,106,0.0438,0.0372,0.0406,0.0543,0.0424,0.85,0.151,0.0335,1.09,0.425,0.0374,0.133,0.0019,3,0.03,0.0188,"Sports / price=0.50-0.70 (n=35, roi=+0.20) | Sports / Soccer / price=0.50-0.70 (n=35, roi=+0.20)"
0x31550df5402226b825f900a31659a05d809d268e,tizzles,0.0153,True,,83,0.0969,0.0626,0.1228,0.0783,-0.0474,0.65,0.181,0.1061,1.19,0.952,0.0341,0.0917,0.0,1,0.01,0.0236,"Sports / MMA/Boxing / UFC (n=54, roi=+0.29) | Sports / MMA/Boxing / type=moneyline (n=53, roi=+0.29) | Sports / MMA/Boxing (n=61, roi=+0.26) | Sports / MMA/Boxing / pre (n=37, roi=+0.29)"
0x5f4a0508541e6930f13bc679851dedeb18699484,rubenoved,0.0117,True,,150,0.1249,0.1155,0.1265,0.1309,0.0879,0.92,0.28,0.1626,2.58,0.973,0.0146,0.1218,0.0,1,0.01,0.0127,"Esports / price=0.50-0.70 (n=49, roi=+0.21) | Esports / Esports / price=0.50-0.70 (n=49, roi=+0.21) | Esports / Esports / Counter Strike (n=145, roi=+0.10)"
0xaab18830506d45d582007ff27cb35f3038d29678,veys,0.0008,True,,150,0.0401,0.0262,0.0669,0.0471,0.0003,0.65,0.273,-0.0082,0.53,0.987,-0.0212,0.0321,,0,,0.0013,"Sports / Basketball / type=moneyline (n=35, roi=+0.13)"
0x12ed45d2b45259d27a7fb593e564cd269c4fc9b4,sazzaa,0,False,delayed_roi<=0,150,0.0435,-0.0302,0.0229,-0.0076,-0.0392,-0.7,0.285,-0.0035,0.74,0.987,0.1489,-0.1171,0.0204,2,0.001,0.101,"Sports / Other sport / live (n=520, roi=+0.21) | Sports / price=0.10-0.30 (n=233, roi=+0.30) | Sports / Other sport / price=0.10-0.30 (n=233, roi=+0.30) | Sports (n=550, roi=+0.19) | Sports / Other sport (n=550, roi=+0.19) | Sports / Other sport / type=binary (n=550, roi=+0.19)"
0xffcb2a10ff14a1060e7767c40a7a10ea7a0ad630,,0,False,delayed_roi<=0,150,0.0178,-0.0152,0.0312,0.0411,0.0045,-0.86,0.267,-0.0275,-0.1,0.967,-0.0114,0.0316,,0,,0.0217,"Esports / price=0.50-0.70 (n=98, roi=+0.14) | Esports / Esports / price=0.50-0.70 (n=98, roi=+0.14) | Esports / Esports / League of Legends (n=170, roi=+0.10)"
0x84ec5c73977668d5a140e01b0f78e4381f3f5696,hartemma30,0,False,edge_decays_with_delay,126,0.0376,0.018,0.0296,0.0248,0.0074,0.48,0.294,0.0041,0.95,0.857,-0.0034,0.1048,,0,,0.0147,"Sports / price=0.70-0.90 (n=32, roi=+0.16)"
